"","open_water","developed_open_space","developed_low_intensity","developed_medium_inensity","developed_high_intensity","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herbaceous","pasture_hay","cultivated_crops","woody_wetlands","emergent_herbaceous_wetlands"
"EM2_C0063",5400,0,0,0,0,0,1371600,52200,53100,0,0,0,0,16200,0
"EM2_C0064",9000,1800,900,0,0,0,761400,256500,219600,16200,0,0,19800,176400,34200
"EM2_C0065",0,69300,27900,3600,900,8100,807300,284400,177300,0,2700,8100,0,109800,0
"EM2_C0066",0,42300,900,0,0,0,360000,615600,179100,0,5400,24300,90900,172800,7200
"EM2_C0067",4500,0,0,0,0,0,420300,834300,46800,7200,0,4500,0,158400,25200
"EM2_C0068",4500,0,0,0,0,0,479700,605700,21600,189900,7200,25200,0,136800,27900
"EM2_C0069",4500,0,0,0,0,0,420300,837900,47700,7200,0,4500,0,157500,23400
"EM2_C0070",0,1800,0,0,0,0,1145700,27000,11700,9000,10800,9000,0,251100,37800
"EM2_C0071",2700,0,0,0,0,0,1098900,15300,0,62100,7200,10800,0,247500,53100
"EM2_C0072",0,54900,1800,0,0,0,908100,200700,36000,1800,2700,15300,0,257400,25200
"EM2_C0073",8100,38700,4500,0,0,0,899100,317700,18900,24300,3600,92700,0,84600,10800
"EM2_C0074",34200,1800,0,0,0,0,1205100,99900,60300,4500,2700,0,0,87300,4500
"EM2_C0075",3600,0,0,0,0,0,414900,208800,50400,0,2700,0,0,822600,0
"EM2_C0076",38700,0,0,0,0,0,1031400,9000,0,8100,6300,63900,0,251100,90000
"EM2_C0077",900,49500,1800,0,0,0,849600,371700,30600,24300,0,6300,0,154800,9000
"EM2_C0078",7200,81900,1800,0,0,0,386100,772200,37800,28800,3600,1800,0,173700,3600
"EM2_C0079",0,57600,16200,3600,0,0,458100,690300,28800,81900,900,900,0,162000,0
"EM2_C0080",8100,22500,0,0,0,0,654300,467100,37800,9900,7200,1800,0,280800,7200
"EM2_C0081",9900,1800,0,0,0,0,1033200,1800,0,9000,12600,45000,0,297900,90900
"EM2_C0082",44100,0,0,0,0,0,1259100,86400,72900,4500,4500,0,0,25200,1800
"EM2_C0083",39600,0,0,0,0,0,1227600,0,3600,5400,7200,19800,0,187200,10800
"EM2_C0084",0,75600,0,0,0,0,941400,261000,115200,0,0,29700,0,73800,900
"EM2_C0085",0,52200,14400,2700,900,5400,895500,267300,113400,2700,6300,1800,0,140400,0
"EM2_C0086",0,19800,5400,2700,0,0,795600,429300,159300,2700,9000,0,0,75600,0
"EM2_C0087",0,28800,9900,1800,0,0,655200,155700,186300,39600,0,162000,0,252000,9000
"EM2_C0088",0,65700,6300,0,0,0,360000,260100,90900,27900,0,119700,216000,347400,5400
"EM2_C0089",0,60300,19800,4500,900,8100,911700,279900,108000,0,0,0,0,106200,0
"EM2_C0090",6300,77400,900,0,0,0,1001700,144000,97200,6300,0,0,0,160200,5400
"EM2_C0091",0,55800,3600,2700,0,0,512100,734400,162900,22500,0,0,0,0,0
"EM2_C0092",9000,63900,1800,0,0,0,276300,783900,62100,64800,5400,8100,0,218700,5400
"EM2_C0093",0,79200,0,0,0,0,936000,378900,89100,0,6300,6300,0,6300,0
"EM2_C0094",18900,0,0,0,0,0,1173600,76500,11700,9900,0,45900,0,124200,38700
"EM2_C0095",0,0,0,0,0,0,448200,423900,103500,27900,0,11700,172800,313200,900
"EM2_C0096",0,3600,900,0,0,0,871200,333900,88200,36900,0,0,0,166500,0
"EM2_C0097",62100,50400,7200,0,0,0,822600,162000,110700,4500,0,900,0,279900,900
"EM2_C0098",92700,8100,0,0,0,0,1226700,93600,25200,0,1800,0,0,48600,2700
"EM2_C0099",52200,0,0,0,0,0,1341000,24300,48600,1800,2700,0,0,23400,2700
"EM2_C0100",77400,46800,5400,0,0,0,819900,143100,66600,14400,0,11700,0,313200,900
"EM2_C0101",81000,18000,0,0,0,0,1062900,111600,75600,0,0,0,0,149400,1800
"EM2_C0102",22500,27000,0,0,0,0,1173600,104400,52200,5400,7200,0,0,100800,4500
"EM2_C0103",0,90000,1800,0,0,0,941400,31500,29700,0,0,0,0,405000,900
"EM2_C0104",21600,51300,0,0,0,0,840600,293400,29700,42300,31500,0,0,189000,3600
"EM2_C0105",4500,51300,0,0,0,0,1116000,31500,25200,72900,0,0,0,201600,900
"EM2_C0106",900,70200,900,0,0,0,1010700,33300,44100,0,0,0,0,336600,2700
"EM2_C0107",107100,135900,70200,55800,34200,1800,117900,288000,30600,4500,900,95400,0,555300,5400
"EM2_C0108",7200,19800,0,0,0,0,306900,498600,43200,3600,4500,1800,0,606600,4500
"EM2_C0109",88200,76500,12600,0,900,0,683100,57600,54000,4500,6300,391500,0,110700,11700
"EM2_C0110",9000,52200,0,0,0,0,1272600,57600,54000,0,900,0,0,53100,0
"EM2_C0111",0,51300,0,0,0,0,1346400,45900,0,24300,0,0,0,31500,0
"EM2_C0112",54900,119700,0,0,0,0,1039500,157500,0,9000,3600,0,0,113400,2700
"EM2_C0113",101700,57600,8100,0,0,0,771300,103500,63000,2700,1800,279900,0,108900,2700
"EM2_C0114",900,18000,28800,1800,0,0,1303200,40500,87300,0,0,0,0,23400,0
"EM2_C0115",9900,46800,0,0,0,0,1287000,38700,7200,18900,900,0,0,87300,1800
"EM2_C0116",1800,24300,0,0,0,0,982800,35100,79200,0,0,0,0,379800,0
"EM2_C0117",5400,65700,0,0,0,0,1179900,66600,19800,0,0,0,0,162900,0
"EM2_C0118",77400,0,0,0,0,0,1364400,9900,33300,0,2700,0,0,9000,3600
"EM2_C0119",112500,21600,900,2700,0,0,846000,162900,87300,27000,1800,38700,0,197100,4500
"EM2_C0120",51300,17100,0,0,0,0,1134900,161100,81900,7200,7200,0,0,36900,3600
"EM2_C0121",900,30600,900,900,0,0,1401300,23400,40500,0,0,0,0,3600,0
"EM2_C0122",9000,52200,0,900,0,0,1249200,46800,58500,4500,3600,1800,0,71100,3600
"EM2_C0123",44100,108000,5400,0,0,0,958500,102600,49500,0,2700,0,0,230400,900
"EM2_C0124",7200,51300,0,0,0,0,602100,697500,35100,11700,18000,1800,0,69300,7200
"EM2_C0125",8100,49500,900,0,0,0,340200,730800,55800,5400,900,2700,0,306000,3600
"EM2_C0126",0,101700,10800,2700,900,0,700200,45900,15300,94500,45900,10800,0,463500,3600
"EM2_C0127",110700,27900,27900,4500,0,0,166500,6300,17100,0,5400,140400,222300,656100,117000
"EM2_C0128",900,49500,0,0,0,0,1090800,97200,40500,31500,3600,0,0,181800,0
"EM2_C0129",90000,28800,29700,2700,1800,0,360900,11700,12600,0,4500,59400,163800,690300,46800
"EM2_C0130",57600,59400,19800,5400,900,0,524700,142200,25200,9900,2700,452700,0,191700,9000
"EM2_C0131",46800,81900,35100,6300,900,0,720000,150300,29700,7200,9000,270900,0,117900,22500
"EM2_C0132",24300,27000,0,0,0,0,811800,330300,41400,0,104400,0,0,158400,900
"EM2_C0133",15300,71100,1800,0,0,0,1069200,114300,81000,27000,0,1800,0,120600,0
"EM2_C0134",0,56700,5400,4500,0,0,792900,9900,50400,0,9000,191700,149400,218700,9900
"EM2_C0135",0,900,0,0,0,0,414900,13500,41400,0,0,84600,130500,712800,102600
"EM2_C0136",8100,131400,0,0,0,0,850500,174600,64800,150300,4500,0,0,111600,1800
"EM2_C0137",4500,46800,900,900,0,0,1035000,221400,16200,26100,138600,0,0,7200,2700
"EM2_C0138",0,16200,34200,1800,0,0,1003500,234900,60300,59400,1800,0,0,89100,900
"EM2_C0139",23400,47700,23400,3600,0,900,747000,258300,54900,8100,0,0,0,331200,900
"EM2_C0140",900,76500,0,900,0,4500,1025100,119700,32400,34200,900,0,0,205200,1800
"EM2_C0141",7200,71100,0,0,0,0,1151100,108900,61200,27000,1800,0,0,70200,1800
"EM2_C0142",10800,80100,1800,0,0,0,792000,345600,113400,26100,5400,0,0,120600,1800
"EM2_C0143",62100,63900,2700,0,0,0,731700,57600,28800,5400,11700,308700,0,200700,28800
"EM2_C0144",75600,37800,1800,1800,1800,0,818100,54000,23400,26100,9900,410400,9000,27900,900
"EM2_C0145",59400,76500,5400,2700,1800,0,742500,17100,14400,20700,1800,492300,900,59400,4500
"EM2_C0146",54000,0,0,0,0,0,1381500,1800,34200,1800,2700,0,0,23400,2700
"EM2_C0147",121500,23400,34200,5400,0,900,380700,450000,30600,0,15300,0,0,403200,33300
"EM2_C0148",0,106200,1800,900,0,4500,825300,80100,22500,17100,0,0,0,438300,0
"EM2_C0149",9000,70200,0,900,0,0,1048500,94500,95400,27900,45900,8100,0,97200,0
"EM2_C0150",0,59400,25200,3600,900,8100,894600,288900,83700,0,0,0,0,131400,0
"EM2_C0151",0,59400,25200,3600,900,8100,894600,288900,83700,0,0,0,0,131400,0
"EM2_C0152",0,48600,27900,10800,900,0,145800,56700,38700,0,4500,346500,81900,735300,2700
"EM2_C0153",900,50400,1800,0,0,0,868500,380700,37800,35100,0,7200,0,111600,8100
"EM2_C0154",3600,33300,0,0,0,0,945900,343800,34200,16200,11700,0,0,109800,4500
"EM2_C0155",3600,33300,0,0,0,0,945900,343800,34200,16200,11700,0,0,109800,4500
"EM2_C0156",0,62100,22500,6300,0,0,289800,765000,49500,81900,6300,1800,0,215100,0
"EM2_C0157",1800,43200,900,0,0,0,873000,366300,28800,47700,0,16200,0,102600,16200
"EM2_C0158",10800,23400,0,0,0,0,387900,655200,77400,0,44100,10800,0,286200,3600
"EM2_C0159",1800,43200,900,0,0,0,873000,366300,28800,47700,0,16200,0,102600,16200
"EM2_C0160",10800,23400,0,0,0,0,387900,655200,77400,0,44100,10800,0,286200,3600
"EM2_C0161",74700,48600,5400,0,0,0,806400,151200,72900,13500,0,9900,0,317700,0
"EM2_C0162",18000,22500,1800,0,0,0,1177200,90900,50400,5400,900,900,0,128700,5400
"EM2_C0163",74700,49500,7200,0,0,0,798300,163800,105300,9900,0,1800,0,287100,0
"EM2_C0164",0,62100,4500,900,0,0,961200,225900,130500,0,43200,3600,0,71100,0
"EM2_C0165",0,8100,34200,5400,0,2700,935100,55800,23400,0,2700,0,0,428400,7200
"EM2_C0166",0,8100,34200,5400,0,2700,935100,55800,23400,0,2700,0,0,428400,7200
"EM2_C0167",0,79200,14400,5400,900,0,159300,69300,38700,0,3600,281700,37800,808200,1800
"EM2_C0168",0,82800,11700,5400,900,0,160200,70200,38700,0,3600,276300,34200,810000,1800
"EM2_C0169",0,4500,30600,5400,0,2700,1032300,54000,16200,0,900,0,0,342000,7200
"EM2_C0170",0,4500,30600,5400,0,2700,1032300,54000,16200,0,900,0,0,342000,7200
"EM2_C0171",0,63900,4500,900,0,0,975600,214200,129600,0,51300,3600,0,60300,0
"EM2_C0172",0,78300,900,0,0,0,937800,208800,114300,0,0,69300,0,92700,900
"EM2_C0173",0,78300,900,0,0,0,937800,208800,114300,0,0,69300,0,92700,900
"EM2_C0174",0,7200,36000,7200,900,2700,921600,63900,28800,900,900,0,0,423000,7200
"EM2_C0175",0,7200,36000,7200,900,2700,921600,63900,28800,900,900,0,0,423000,7200
"EM2_C0176",0,59400,4500,900,0,0,962100,226800,128700,0,45000,2700,0,71100,0
"EM2_C0177",0,69300,23400,3600,0,0,305100,782100,29700,86400,9000,1800,0,189000,0
"EM2_C0178",0,69300,23400,3600,0,0,305100,782100,29700,86400,9000,1800,0,189000,0
"EM2_C0179",46800,0,0,0,0,0,1219500,124200,85500,4500,4500,0,0,12600,900
"EM2_C0180",43200,0,0,0,0,0,1262700,95400,74700,4500,4500,0,0,11700,0
"EM2_C0181",0,27900,0,0,0,0,1381500,5400,69300,0,0,0,0,17100,0
"EM2_C0182",0,27900,0,0,0,0,1381500,5400,69300,0,0,0,0,17100,0
"EM2_C0183",26100,9900,1800,0,0,0,1166400,93600,48600,1800,1800,900,0,144000,7200
"EM2_C0184",77400,0,0,0,0,0,1256400,88200,30600,1800,3600,0,0,39600,1800
"EM2_C0185",26100,55800,0,0,0,0,1225800,17100,53100,2700,3600,5400,0,108900,4500
"EM2_C0186",25200,55800,0,0,0,0,1221300,20700,54900,2700,3600,5400,0,108900,4500
"EM2_C0187",0,63900,4500,900,0,0,975600,214200,129600,0,51300,3600,0,60300,0
"EM2_C0188",0,69300,26100,6300,0,0,229500,798300,45000,83700,11700,1800,0,226800,0
"EM2_C0189",0,69300,26100,6300,0,0,229500,798300,45000,83700,11700,1800,0,226800,0
"EM2_C0190",900,56700,900,900,0,0,1314000,36000,75600,0,0,0,0,16200,900
"EM2_C0191",900,56700,900,900,0,0,1314000,36000,75600,0,0,0,0,16200,900
"EM2_C0192",6300,77400,900,0,0,0,990900,150300,100800,6300,0,0,0,156600,5400
"EM2_C0193",6300,77400,900,0,0,0,990900,150300,100800,6300,0,0,0,156600,5400
"EM2_C0194",0,43200,34200,18900,1800,0,130500,54000,44100,6300,2700,485100,117000,558000,7200
"EM2_C0195",0,43200,34200,18900,1800,0,130500,54000,44100,6300,2700,485100,117000,558000,7200
"EM2_C0196",4500,54000,1800,0,0,10800,709200,195300,148500,0,9000,0,0,315000,52200
"EM2_C0197",4500,54000,1800,0,0,10800,709200,195300,148500,0,9000,0,0,315000,52200
"EM2_C0198",9000,51300,0,0,0,0,1256400,52200,65700,2700,3600,0,0,60300,1800
"EM2_C0199",9000,51300,0,0,0,0,1255500,52200,65700,2700,3600,0,0,61200,1800
"EM2_C0200",0,59400,4500,900,0,0,963000,223200,129600,0,45900,3600,0,69300,0
"EM2_C0201",23400,56700,0,0,0,0,1213200,31500,54900,2700,3600,3600,0,108900,4500
"EM2_C0202",23400,56700,0,0,0,0,1213200,31500,54900,2700,3600,3600,0,108900,4500
"EM2_C0203",8100,30600,0,0,0,0,569700,603000,35100,12600,20700,1800,0,209700,7200
"EM2_C0204",900,57600,1800,0,0,0,881100,378000,43200,29700,0,10800,0,95400,900
"EM2_C0205",8100,30600,0,0,0,0,569700,603000,35100,12600,20700,1800,0,209700,7200
"EM2_C0206",0,63900,4500,900,0,0,975600,214200,129600,0,51300,3600,0,60300,0
"EM2_C0207",0,61200,4500,900,0,0,958500,227700,130500,0,42300,3600,0,72000,0
"EM2_C0208",0,49500,27900,10800,900,0,145800,56700,38700,0,4500,347400,80100,736200,2700
"EM2_C0209",58500,0,0,0,0,0,1375200,1800,35100,1800,2700,0,0,23400,2700
"EM2_C0210",0,71100,27000,3600,900,8100,835200,260100,169200,0,3600,7200,0,108900,0
"EM2_C0211",0,71100,27000,3600,900,8100,835200,260100,169200,0,3600,7200,0,108900,0
"EM2_C0212",49500,0,0,0,0,0,1197900,130500,72900,6300,6300,0,0,31500,3600
"EM2_C0213",49500,0,0,0,0,0,1197900,130500,72900,6300,6300,0,0,31500,3600
"EM2_C0214",1800,38700,16200,13500,0,10800,555300,494100,63000,45000,7200,20700,0,234000,0
"EM2_C0215",1800,38700,16200,13500,0,10800,555300,494100,63000,45000,7200,20700,0,234000,0
"EM2_C0216",0,69300,26100,7200,0,0,232200,797400,45900,83700,11700,1800,0,227700,0
"EM2_C0218",45000,5400,0,0,0,0,1241100,107100,81900,4500,4500,0,0,11700,0
"EM2_C0223",2700,93600,11700,1800,0,0,947700,41400,45900,24300,0,169200,0,154800,6300
"EM2_C0224",2700,93600,11700,1800,0,0,947700,41400,45900,24300,0,169200,0,154800,6300
"EM2_C0226",0,4500,27000,5400,0,2700,1044900,54000,16200,0,900,0,0,337500,7200
"EM2_C0227",0,4500,27000,5400,0,2700,1044900,54000,16200,0,900,0,0,337500,7200
"EM2_C0231",2700,43200,900,0,0,0,878400,365400,29700,48600,0,16200,0,98100,15300
"EM2_C0232",2700,100800,12600,2700,0,0,956700,61200,47700,22500,0,108900,0,172800,10800
"EM2_C0233",2700,100800,12600,2700,0,0,956700,61200,47700,22500,0,108900,0,172800,10800
"EM2_C0237",0,61200,22500,6300,0,0,295200,760500,49500,81900,6300,1800,0,212400,0
"EM2_C0238",0,61200,22500,6300,0,0,295200,760500,49500,81900,6300,1800,0,212400,0
"EM2_C0239",0,69300,26100,7200,0,0,232200,797400,45900,83700,11700,1800,0,227700,0
"EM2_C0244",22500,56700,0,0,0,0,1214100,36900,54900,2700,3600,2700,0,101700,3600
"EM2_C0248",900,48600,1800,0,0,0,861300,378900,36000,34200,0,7200,0,121500,9900
"EM2_C0250",0,69300,23400,3600,0,0,302400,784800,29700,85500,9000,1800,0,190800,0
"EM2_C0253",0,69300,23400,3600,0,0,302400,784800,29700,85500,9000,1800,0,190800,0
"EM2_C0254",46800,19800,0,0,0,0,1201500,114300,99000,4500,4500,1800,0,8100,0
"EM2_C0255",900,57600,1800,0,0,0,881100,378000,43200,29700,0,10800,0,96300,900
"EM2_C0264",0,7200,36000,7200,900,2700,918000,63900,27000,900,900,0,0,423900,7200
"EM2_C0265",0,7200,36000,7200,900,2700,918000,63900,27000,900,900,0,0,423900,7200
"EM2_C0266",0,49500,27900,10800,1800,0,143100,56700,38700,0,4500,344700,83700,733500,2700
"EM2_C0267",0,49500,27900,10800,1800,0,143100,56700,38700,0,4500,344700,83700,733500,2700
"EM2_C0271",0,8100,34200,5400,0,2700,935100,56700,22500,0,2700,0,0,424800,7200
"EM2_C0273",0,8100,34200,5400,0,2700,935100,56700,22500,0,2700,0,0,424800,7200
"EM2_C0276",0,82800,12600,5400,900,0,160200,69300,38700,0,3600,278100,36000,810900,1800
"EM2_C0278",0,82800,12600,5400,900,0,160200,69300,38700,0,3600,278100,36000,810900,1800
"EM2_C0279",47700,0,0,0,0,0,1217700,126000,83700,4500,4500,0,0,15300,1800
"EM2_C0280",0,42300,33300,18900,1800,0,128700,54900,44100,3600,2700,472500,114300,576000,7200
"EM2_C0282",0,42300,33300,18900,1800,0,128700,54900,44100,3600,2700,472500,114300,576000,7200
"EM2_C0287",26100,55800,0,0,0,0,1225800,17100,53100,2700,3600,5400,0,108900,4500
"EM2_C0290",9000,51300,0,0,0,0,1253700,52200,65700,2700,3600,0,0,61200,1800
"EM2_C0292",62100,0,0,0,0,0,1389600,1800,34200,1800,2700,0,0,6300,1800
"EM2_C0293",62100,0,0,0,0,0,1389600,1800,34200,1800,2700,0,0,6300,1800
"EM2_C0294",0,7200,36000,7200,900,2700,918000,63900,27000,900,900,0,0,423900,7200
"EM2_C0295",22500,56700,0,0,0,0,1211400,34200,54000,2700,3600,3600,0,104400,4500
"EM2_C0296",9000,51300,0,0,0,0,1257300,52200,65700,2700,3600,0,0,59400,1800
"EM2_C0297",26100,54900,0,0,0,0,1223100,17100,53100,2700,3600,5400,0,108900,4500
"EM2_C0298",0,4500,28800,5400,0,2700,1043100,54000,16200,0,900,0,0,335700,7200
"EM2_C0299",0,69300,23400,3600,0,0,302400,785700,28800,86400,9900,1800,0,191700,0
"EM2_C0300",0,62100,22500,7200,0,0,292500,760500,49500,81900,6300,1800,0,215100,0
"EM2_C0301",46800,19800,0,0,0,0,1201500,114300,99000,4500,4500,1800,0,8100,0
"EM2_C0302",41400,0,0,0,0,0,1335600,1800,40500,1800,2700,0,0,76500,900
"EM2_C0303",41400,0,0,0,0,0,1335600,1800,40500,1800,2700,0,0,76500,900
"EM2_C0304",72900,50400,6300,0,0,0,774900,164700,83700,13500,0,9900,0,322200,0
"EM2_C0305",72900,50400,6300,0,0,0,774900,164700,83700,13500,0,9900,0,322200,0
"EM2_C0306",0,8100,34200,5400,0,2700,938700,57600,21600,0,2700,0,0,424800,7200
"EM2_C0307",0,68400,26100,7200,0,0,230400,798300,45900,83700,11700,1800,0,227700,0
"EM2_C0308",80100,13500,0,0,0,0,1089000,109800,78300,1800,900,0,0,124200,1800
"EM2_C0309",80100,13500,0,0,0,0,1089000,109800,78300,1800,900,0,0,124200,1800
"EM2_C0310",47700,0,0,0,0,0,1217700,126000,83700,4500,4500,0,0,15300,1800
"EM2_C0311",45000,5400,0,0,0,0,1241100,107100,81900,4500,4500,0,0,11700,0
"EM2_C0312",0,43200,34200,18900,1800,0,129600,52200,44100,6300,2700,486900,118800,557100,7200
"EM2_C0313",0,43200,34200,18900,1800,0,129600,52200,44100,6300,2700,486900,118800,557100,7200
"EM2_C0314",0,43200,34200,18900,1800,0,129600,52200,44100,6300,2700,486900,118800,557100,7200
"EM2_C0315",0,82800,12600,5400,900,0,160200,70200,38700,0,3600,276300,36000,810900,1800
"EM2_C0316",0,82800,12600,5400,900,0,160200,70200,38700,0,3600,276300,36000,810900,1800
"EM2_C0317",0,82800,12600,5400,900,0,160200,70200,38700,0,3600,276300,36000,810900,1800
"EM2_C0318",0,50400,27900,10800,900,0,146700,56700,38700,0,4500,349200,79200,736200,2700
"EM2_C0319",0,50400,27900,10800,900,0,146700,56700,38700,0,4500,349200,79200,736200,2700
"EM2_C0320",0,50400,27900,10800,900,0,146700,56700,38700,0,4500,349200,79200,736200,2700
"EM2_C0217",0,41400,35100,18000,1800,0,130500,52200,44100,6300,1800,511200,107100,540000,7200
"EM2_C0219",0,29700,21600,3600,0,0,179100,55800,43200,0,0,527400,16200,616500,7200
"EM2_C0220",0,29700,21600,3600,0,0,179100,55800,43200,0,0,527400,16200,616500,7200
"EM2_C0222",0,29700,21600,3600,0,0,179100,55800,43200,0,0,527400,16200,616500,7200
"EM2_C0225",0,42300,14400,8100,0,49500,266400,567900,232200,38700,6300,159300,13500,100800,0
"EM2_C0228",0,45900,34200,18000,1800,0,136800,49500,44100,5400,4500,405000,157500,587700,8100
"EM2_C0229",0,45900,34200,18000,1800,0,136800,49500,44100,5400,4500,405000,157500,587700,8100
"EM2_C0230",0,45900,34200,18000,1800,0,136800,49500,44100,5400,4500,405000,157500,587700,8100
"EM2_C0234",0,41400,35100,18000,1800,0,130500,52200,44100,6300,1800,511200,107100,540000,7200
"EM2_C0235",0,41400,35100,18000,1800,0,130500,52200,44100,6300,1800,511200,107100,540000,7200
"EM2_C0236",0,41400,35100,18000,1800,0,130500,52200,44100,6300,1800,511200,107100,540000,7200
"EM2_C0240",10800,37800,1800,2700,5400,0,192600,103500,23400,16200,9000,87300,0,995400,13500
"EM2_C0241",10800,37800,1800,2700,5400,0,192600,103500,23400,16200,9000,87300,0,995400,13500
"EM2_C0243",10800,37800,1800,2700,5400,0,192600,103500,23400,16200,9000,87300,0,995400,13500
"EM2_C0245",1800,31500,0,0,0,0,176400,83700,40500,7200,2700,171900,0,972900,11700
"EM2_C0246",1800,31500,0,0,0,0,176400,83700,40500,7200,2700,171900,0,972900,11700
"EM2_C0247",1800,31500,0,0,0,0,176400,83700,40500,7200,2700,171900,0,972900,11700
"EM2_C0249",900,9900,5400,0,0,0,170100,77400,41400,6300,2700,288000,0,886500,9000
"EM2_C0251",900,9900,5400,0,0,0,170100,77400,41400,6300,2700,288000,0,886500,9000
"EM2_C0252",900,9900,5400,0,0,0,170100,77400,41400,6300,2700,288000,0,886500,9000
"EM2_C0256",10800,151200,13500,11700,8100,1800,155700,89100,35100,18900,7200,51300,0,928800,14400
"EM2_C0257",10800,151200,13500,11700,8100,1800,155700,89100,35100,18900,7200,51300,0,928800,14400
"EM2_C0258",10800,151200,13500,11700,8100,1800,155700,89100,35100,18900,7200,51300,0,928800,14400
"EM2_C0260",10800,91800,0,0,0,0,193500,104400,23400,14400,2700,30600,0,1012500,13500
"EM2_C0261",10800,91800,0,0,0,0,193500,104400,23400,14400,2700,30600,0,1012500,13500
"EM2_C0262",10800,91800,0,0,0,0,193500,104400,23400,14400,2700,30600,0,1012500,13500
"EM2_C0268",0,13500,11700,2700,0,0,161100,72900,39600,900,900,346500,0,844200,2700
"EM2_C0269",0,13500,11700,2700,0,0,161100,72900,39600,900,900,346500,0,844200,2700
"EM2_C0270",0,13500,11700,2700,0,0,161100,72900,39600,900,900,346500,0,844200,2700
"EM2_C0272",0,13500,11700,2700,0,0,161100,72900,39600,900,900,346500,0,844200,2700
"EM2_C0274",0,18000,12600,2700,0,0,140400,69300,38700,0,0,376200,3600,830700,1800
"EM2_C0275",0,18000,12600,2700,0,0,140400,69300,38700,0,0,376200,3600,830700,1800
"EM2_C0277",0,18000,12600,2700,0,0,140400,69300,38700,0,0,376200,3600,830700,1800
"EM2_C0281",0,25200,16200,3600,0,0,142200,55800,38700,0,0,443700,9000,759600,3600
"EM2_C0283",0,36000,31500,17100,1800,0,129600,55800,41400,0,1800,469800,78300,629100,8100
"EM2_C0284",0,36000,31500,17100,1800,0,129600,55800,41400,0,1800,469800,78300,629100,8100
"EM2_C0285",0,36000,31500,17100,1800,0,129600,55800,41400,0,1800,469800,78300,629100,8100
"EM2_C0286",0,36000,31500,17100,1800,0,129600,55800,41400,0,1800,469800,78300,629100,8100
"EM2_C0288",0,25200,16200,3600,0,0,142200,55800,38700,0,0,443700,9000,759600,3600
"EM2_C0289",0,25200,16200,3600,0,0,142200,55800,38700,0,0,443700,9000,759600,3600
"EM2_C0291",0,26100,16200,3600,0,0,149400,55800,38700,0,0,450900,5400,748800,3600
"EM2_C0321",26100,80100,16200,3600,0,0,1365300,72900,91800,2700,3600,449100,9000,868500,8100
"EM2_C0221",36900,900,0,0,0,0,1224900,3600,73800,2700,2700,0,0,153000,1800
"EM2_C0242",77400,45000,5400,0,0,0,839700,139500,66600,13500,0,9000,0,303300,0
"EM2_C0259",58500,46800,7200,0,0,0,889200,145800,103500,1800,0,0,0,246600,1800
"EM2_C0263",60300,0,0,0,0,0,1375200,1800,36000,1800,2700,0,0,21600,2700
"EM2_C0322",9000,51300,0,0,0,0,1257300,52200,65700,2700,3600,0,0,59400,1800
"EM2_C0323",22500,56700,0,0,0,0,1211400,34200,54000,2700,3600,3600,0,104400,4500
"EM2_C0324",0,49500,36000,18900,1800,0,185400,16200,31500,5400,4500,378900,234900,533700,5400
"EM2_C0325",2700,106200,11700,3600,0,0,972000,54900,36000,24300,0,168300,0,119700,2700
"EM2_C0326",0,43200,34200,18900,1800,0,129600,52200,44100,6300,2700,486900,119700,556200,7200
"EM2_C0327",0,83700,11700,5400,900,0,159300,70200,38700,0,3600,276300,34200,810900,1800
"EM2_C0328",0,31500,27900,8100,0,0,146700,55800,40500,0,0,520200,21600,638100,8100
"EM2_C0329",0,26100,16200,3600,0,0,144000,55800,38700,0,0,459900,9900,739800,4500
"EM2_C0330",1800,20700,0,0,0,0,160200,80100,43200,7200,2700,233100,0,941400,9000
"EM2_C0331",0,31500,27900,8100,0,0,146700,55800,40500,0,0,520200,21600,638100,8100
"EM2_C0332",0,26100,16200,3600,0,0,144000,55800,38700,0,0,459900,9900,739800,4500
"EM2_C0333",0,69300,23400,3600,0,0,302400,785700,28800,86400,9900,1800,0,191700,0
"EM2_C0334",0,22500,40500,13500,900,0,302400,54000,9900,8100,0,866700,0,174600,6300
"EM2_C0335",0,27900,43200,15300,900,0,262800,100800,39600,8100,0,786600,0,211500,2700
"EM2_C0336",0,7200,36000,7200,900,2700,918000,63900,27000,900,900,0,0,423900,7200
"EM2_C0337",0,68400,26100,7200,0,0,230400,798300,45900,83700,11700,1800,0,227700,0
"EM2_C0338",0,62100,22500,7200,0,0,292500,760500,49500,81900,6300,1800,0,215100,0
"EM2_C0339",2700,47700,900,0,0,0,967500,216000,16200,26100,147600,0,0,53100,21600
"EM2_C0340",7200,50400,900,900,0,0,1198800,122400,49500,45000,8100,0,0,18900,0
"EM2_C0341",1800,4500,0,0,0,0,522900,276300,50400,0,2700,0,0,639000,0
"EM2_C0342",1800,20700,0,0,0,0,160200,80100,43200,7200,2700,233100,0,941400,9000
"EM2_C0343",0,31500,27900,8100,0,0,146700,55800,40500,0,0,520200,21600,638100,8100
"EM2_C0344",0,26100,16200,3600,0,0,144000,55800,38700,0,0,459900,9900,739800,4500
"EM1_C0001",0,0,0,0,0,0,200700,358200,28800,6300,0,4500,0,42300,8100
"EM1_C0002",4500,0,0,0,0,0,235800,329400,5400,64800,0,2700,0,6300,0
